timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
152203262,152202432,0.12674475,0.4081924,0.14236553,0.027130127,0.16467285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24568176,0.0,0.0,nan,0.0,0.0,-0.076315165,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
152703081,152702334,0.14179611,0.36521482,0.10922122,0.12545776,0.27008057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23003769,0.0,0.0,nan,0.0,0.0,0.042408228,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
153198320,153197545,0.14599991,0.32535625,0.06987774,0.11231232,0.22587585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29252243,0.0,0.0,nan,0.0,0.0,0.04092145,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
153698977,153698206,0.15658188,0.36050582,0.034387827,0.096588135,0.17808533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14759827,0.0,0.0,nan,0.0,0.0,0.06581426,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
154195294,154194507,0.21838951,0.32296538,0.079295084,0.09199524,0.14787292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11055374,0.0,0.0,nan,0.0,0.0,0.08981466,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
154699790,154698543,0.22727633,0.22699857,0.05092243,0.12361145,0.23583984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33222198,0.0,0.0,nan,0.0,0.0,-0.05754614,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
155203118,155202336,0.15344238,0.24373436,-0.0045881122,0.1769867,0.2087555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15245438,0.0,0.0,nan,0.0,0.0,0.058174133,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
155695693,155694446,0.21113682,0.17556787,-0.011209983,0.15050507,0.14694214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14540863,0.0,0.0,nan,0.0,0.0,0.02818513,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
156199397,156198217,0.26057768,0.043943167,0.10558246,0.14002228,0.13446045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075531006,0.0,0.0,nan,0.0,0.0,0.09353733,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
156703522,156702722,0.2219181,-0.01854086,-0.029292572,0.10688019,0.10984802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14112473,0.0,0.0,nan,0.0,0.0,0.061148405,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
157195849,157194678,0.2545662,-0.14719224,0.017648295,0.20361328,0.043121338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23423767,0.0,0.0,nan,0.0,0.0,0.07143068,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
157695620,157694446,0.2794423,-0.053886175,-0.022201046,0.113708496,0.015945435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112464905,0.0,0.0,nan,0.0,0.0,0.08710265,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
158199987,158198928,0.2335639,-0.010859489,0.094049536,0.123931885,0.024414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17616272,0.0,0.0,nan,0.0,0.0,0.07686472,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
158695669,158694688,0.22254562,-0.105517864,0.06292644,0.20100403,0.050308228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17196655,0.0,0.0,nan,0.0,0.0,0.037913084,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
159199679,159198477,0.21814108,-0.08485389,-0.07220462,0.1513443,-0.001159668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04150009,0.0,0.0,nan,0.0,0.0,0.019272327,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
159695493,159694554,0.22979784,-0.09315014,-0.020990135,0.2144928,-0.055725098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011634827,0.0,0.0,nan,0.0,0.0,0.03374672,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
160199724,160198509,0.21360588,-0.063043356,-0.066135176,0.18405151,-0.012893677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22140503,0.0,0.0,nan,0.0,0.0,0.08932924,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
160700355,160699165,0.09933567,0.05780387,-0.16182609,0.0884552,-0.01121521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012599945,0.0,0.0,nan,0.0,0.0,0.0689168,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
161199696,161198505,0.035671234,0.0264678,-0.079855725,0.13717651,0.017684937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370964,0.0,0.0,nan,0.0,0.0,0.107397795,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
161694983,161694119,0.07619476,0.061400414,-0.11504977,0.14237213,0.021774292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10486603,0.0,0.0,nan,0.0,0.0,0.046479225,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
162195557,162194810,0.042607307,0.020730734,-0.08118661,0.13079834,0.07484436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016796112,0.0,0.0,nan,0.0,0.0,0.062478304,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
162700176,162699093,0.0062322617,0.028174877,-0.16696355,0.09100342,-0.01020813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13862228,0.0,0.0,nan,0.0,0.0,0.053628445,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
163203987,163202790,-0.015350819,0.020611763,-0.043268174,0.032333374,-0.026947021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032474518,0.0,0.0,nan,0.0,0.0,0.08661103,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
163695703,163694750,0.02021265,-0.016753197,-0.07949653,0.018066406,0.033477783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10016632,0.0,0.0,nan,0.0,0.0,0.04213524,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
164198916,164198158,-0.034099102,0.11290479,-0.062990166,0.06175995,-0.011993408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15651703,0.0,0.0,nan,0.0,0.0,0.07455492,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
164699724,164698783,-0.031965256,0.15389752,-0.05265699,0.03225708,0.059326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12460327,0.0,0.0,nan,0.0,0.0,0.012904644,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
165199000,165198247,-0.050884724,0.12739182,-0.06661716,-0.008552551,0.11199951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025970459,0.0,0.0,nan,0.0,0.0,0.1179862,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
165695803,165694958,-0.03663397,0.16654205,-0.015656006,0.02407837,0.0856781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07229233,0.0,0.0,nan,0.0,0.0,-0.006469488,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
166199591,166198845,0.031826973,0.17762303,-0.04135506,0.028656006,0.0826416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17118835,0.0,0.0,nan,0.0,0.0,0.11216879,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
166695951,166694988,0.12937498,0.2322793,-0.12842855,0.026939392,0.113723755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079963684,0.0,0.0,nan,0.0,0.0,0.17852712,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
167195599,167194722,0.14690018,0.19420362,-0.033267055,0.06715393,0.14434814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07701874,0.0,0.0,nan,0.0,0.0,0.05929804,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
167699099,167698234,0.21221733,0.15620232,-0.022382231,0.03807068,0.060302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09763336,0.0,0.0,nan,0.0,0.0,0.06047702,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
168199517,168198646,0.22584295,0.24577808,0.0010767132,0.027690887,0.18232727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35432053,0.0,0.0,nan,0.0,0.0,0.06451416,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
168692065,168691107,0.19368315,0.2922728,-0.041160315,0.051582336,0.092453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057113647,0.0,0.0,nan,0.0,0.0,0.08030844,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
169199064,169198309,0.22280455,0.25566292,-0.019001573,0.20935822,0.13760376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12973022,0.0,0.0,nan,0.0,0.0,0.14249682,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
169695547,169694540,0.2672181,0.27842546,0.028821237,0.11401367,0.21994019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20726013,0.0,0.0,nan,0.0,0.0,0.12675714,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
170195952,170194992,0.20063114,0.28874922,-0.062402286,0.14676666,0.23143005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20252228,0.0,0.0,nan,0.0,0.0,0.12270689,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
170704158,170703287,0.11860609,0.3419156,0.028784804,0.06359482,0.20176697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12928772,0.0,0.0,nan,0.0,0.0,0.22666955,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
171195979,171195030,0.29099298,0.3928417,-0.0015882263,0.17803955,0.2494812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14064407,0.0,0.0,nan,0.0,0.0,0.12422514,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
171691726,171690856,0.30937624,0.3898716,0.09530304,0.18643188,0.21504211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02563858,0.0,0.0,nan,0.0,0.0,0.14737606,-0.04636213,0.033816725,0.0057658553,0.0,0.0,0.0,0.0,0.0
