timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
71274588,-0.0002960764,-0.0009018853,-0.00013617642,0.0
71475416,-0.0009668758,-0.00022298998,-3.8175403e-05,0.0
71674586,-0.0003456262,-0.0010218848,0.0034232454,0.0
71874719,0.0005735779,-0.0037802625,0.011380639,0.0
72075635,-0.0015199477,-0.0026765817,0.002122982,0.0
72274799,-0.0018198034,-0.0015545875,-0.003477699,0.0
72479431,-0.00130736,-8.1189455e-06,-0.004414342,0.0
72674780,0.00044856724,0.0022952734,-0.0033108413,0.0
72878857,0.00027894616,0.0011522669,-0.0017166614,0.0
73074553,0.00033455223,0.0016555908,-0.0007163191,0.0
73275088,-0.0003451437,0.0002711627,-0.00029595158,0.0
73475495,0.0008986309,0.0028840075,-0.00048029647,0.0
73675393,0.00010360159,0.002855794,4.5453293e-05,0.0
73879644,0.00025120954,0.0016708657,-3.5247635e-05,0.0
74074929,-0.0009644921,0.0009336885,3.9712377e-05,0.0
74274893,-0.00041414285,-0.0009007509,-0.00013184342,0.0
74475548,0.00033430182,-0.0013122646,-0.0005028255,0.0
74675134,6.37523e-05,-0.0011790304,-0.0008829378,0.0
74875526,0.00016170347,-0.0010197108,-0.00057218084,0.0
75074936,0.00019599654,-0.0003216994,-0.00049478683,0.0
75279448,0.0007730179,-0.0008363186,-0.0005925895,0.0
75474811,-3.1610663e-05,-0.0004663525,-0.0005553556,0.0
75678987,8.9902285e-05,-0.0007511367,-0.0004930502,0.0
75875393,0.00053574564,-0.00065336906,-0.00052036956,0.0
76074934,0.00031807114,-2.8717122e-06,-0.00024980042,0.0
76275709,-8.581069e-05,-0.0010149648,-0.00018667769,0.0
76475623,0.000884382,-5.2777443e-05,-3.4149252e-05,0.0
76675272,0.00012111545,-0.00069337204,-0.00042083487,0.0
76879603,-0.0007427367,-0.0004761531,-0.0003316998,0.0
77075394,-0.00023526179,-0.0005374663,-0.00043468183,0.0
77275370,-0.0002056812,-1.1905339e-05,-0.000230772,0.0
77475401,0.0002699843,-0.00018806064,-0.0001825423,0.0
77674795,-0.00028901707,2.1327041e-05,0.0004912216,0.0
77875646,0.00011644982,0.00023471579,0.00054385955,0.0
78079535,0.00029658768,-0.0003006544,0.00011982847,0.0
78279372,0.00041326383,-0.0003528283,-9.4231335e-05,0.0
78478799,-0.00021546536,-0.00013587686,-0.0002530862,0.0
78675082,0.00024450338,0.00023954416,-0.00012354362,0.0
78874939,-0.00016754903,7.02112e-05,-0.00019586645,0.0
79075464,0.00020834932,0.00033107324,0.00017784887,0.0
79275399,-0.000397381,3.6296966e-05,-5.500524e-05,0.0
79478928,0.00014791914,-0.00073203683,-0.0007033014,0.0
79679583,-0.0003589147,0.00089945423,-0.001304766,0.0
79875651,-9.500939e-05,-0.00028882164,-0.001713056,0.0
80075435,4.489592e-05,-0.00028411185,-0.002545612,0.0
80275487,0.00056696014,-0.00027409237,-0.0015208458,0.0
80476150,-0.0029295194,-0.0007643491,0.005254728,0.0
80675522,-1.28093525e-05,-0.00061298994,0.0024276867,0.0
80879677,0.0030263376,-0.0015097841,0.00029858487,0.0
81074928,0.00047600796,-0.00011374321,-0.00021973721,0.0
81275560,-0.0005909074,-2.8537876e-05,-0.00021822292,0.0
81474920,0.00022039589,-0.0006471081,7.404076e-05,0.0
81675820,-0.00022365143,-0.0003173654,0.00029275648,0.0
81875031,-0.0008597614,-0.00029207184,4.8511407e-05,0.0
82075609,-0.0006708749,-0.0004206889,3.2817486e-05,0.0
82279687,0.00022149434,-0.00087903725,0.00015541089,0.0
82475700,-0.0002032312,-0.00031552438,0.00026616963,0.0
