timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.disable_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.disable_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.disable_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5]
80272994,71620736,40.1543796,116.25942479999999,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,80270053,40.155155199999996,116.2594757,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,80272983,40.155586199999995,116.2613525,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
98318138,80270053,40.155155199999996,116.2594757,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,98313169,40.155586199999995,116.2613525,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,98318127,40.155014,116.2617111,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
140679384,98313169,40.155586199999995,116.2613525,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,140675139,40.155014,116.2617111,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,140679372,40.1544228,116.26215359999999,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
156748234,140675139,40.155014,116.2617111,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,156745468,40.1544228,116.26215359999999,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,156748222,40.1539001,116.2613068,0.0,0.0,0.0,49.644253,nan,0.0,50.0,2.0,-1.0,nan,1,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
172942194,156745468,40.1544228,116.26215359999999,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,172933275,40.1539001,116.2613068,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,172937675,40.1539001,116.2613068,0.0,0.0,0.0,49.644253,nan,0.0,50.0,2.0,-1.0,nan,1,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
195762219,156745468,40.1544228,116.26215359999999,0.0,0.0,0.0,99.64426,nan,0.0,50.0,2.0,-1.0,nan,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,195761739,40.1539001,116.2613068,0.0,0.0,0.0,49.644253,nan,0.0,50.0,2.0,-1.0,nan,1,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,172937675,40.1539001,116.2613068,0.0,0.0,0.0,49.644253,nan,0.0,50.0,2.0,-1.0,nan,0,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
268396769,268396766,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268396767,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268396768,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268441389,268441386,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268441387,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268441388,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268563960,268563957,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268563958,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268563959,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268763934,268763931,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268763932,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268763933,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268963433,268963430,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268963431,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268963432,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269167713,269167710,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269167711,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269167712,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
