timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
126750423,126749467,40.155405420176706,116.2605885649584,61.790665,61.74584,-0.0,0.34200493,0.5172733,nan,2,0,0,0
127755089,127753211,40.15541472098779,116.26063314892113,64.77489,64.70114,-0.0,0.34194207,0.5173352,nan,2,0,0,0
128746407,128745478,40.155428543394045,116.26068729175991,67.773544,67.68468,-0.0,0.3416568,0.5174059,nan,2,0,0,0
129751092,129748894,40.155443028983534,116.26074167342851,70.85272,70.75589,-0.0,0.34181124,0.5182092,nan,2,0,0,0
130759640,130757672,40.15545788844091,116.26079982843981,74.02536,73.92898,-0.0,0.3419689,0.51814663,nan,2,0,0,0
131753921,131753216,40.15547198626134,116.26085844022167,77.132225,77.0444,-0.0,0.34472135,0.5205214,nan,2,0,0,0
132754706,132753683,40.15548586408333,116.26091677103528,80.28833,80.20988,-0.0,0.34142286,0.5188653,nan,2,0,0,0
133758905,133757895,40.155499464414056,116.2609745131387,83.417694,83.350784,-0.0,0.34170705,0.51961726,nan,2,0,0,0
134753752,134753173,40.15551290129214,116.2610314368958,86.507645,86.44809,-0.0,0.34467193,0.5209533,nan,2,0,0,0
135746254,135745556,40.1555265604608,116.26108748198837,89.60631,89.55694,-0.0,0.34435213,0.521012,nan,2,0,0,0
136754428,136753843,40.155541818023615,116.26114237698042,92.970474,92.92942,-0.0,0.34466192,0.52070504,nan,2,0,0,0
137758360,137757779,40.15555410540805,116.2611999322349,96.191284,96.16133,-0.0,0.34445098,0.52097905,nan,2,0,0,0
138754673,138753937,40.1555647817506,116.26125656352686,98.48711,98.46899,-0.0,0.34427163,0.52122945,nan,2,0,0,0
139750282,139749679,40.155574349193834,116.26130207522287,99.33746,99.34437,-0.0,0.34376717,0.52115476,nan,2,0,0,0
140750541,140749956,40.155581583083055,116.26133229285843,99.673965,99.71389,-0.0,0.34397486,0.5216462,nan,2,0,0,0
141751514,141749635,40.15557973010384,116.26134977223182,99.819534,99.890434,-0.0,0.34400278,0.5217753,nan,2,0,0,0
142750385,142749803,40.155565353171056,116.26136262382254,99.82824,99.92587,-0.0,0.3440187,0.5218996,nan,2,0,0,0
143754603,143754020,40.1555421189426,116.26137945332312,99.86153,99.97665,-0.0,0.34419367,0.5210951,nan,2,0,0,0
144758513,144757934,40.1555014661728,116.26140106428895,99.810394,99.93936,-0.0,0.34433475,0.5212871,nan,2,0,0,0
145750493,145749909,40.15546257179368,116.2614234663561,99.83749,99.9748,-0.0,0.34441623,0.52148336,nan,2,0,0,0
146755862,146753998,40.15542296929532,116.26144759559516,99.829056,99.97287,-0.0,0.34400982,0.5213473,nan,2,0,0,0
147758261,147757613,40.15538333961303,116.26147218138695,99.838745,99.98842,-0.0,0.34435236,0.5208693,nan,2,0,0,0
148750748,148750103,40.155344641007936,116.26149639713819,99.83916,99.9916,-0.0,0.34420443,0.52099854,nan,2,0,0,0
149746793,149746113,40.15530606164891,116.2615205002913,99.8241,99.9811,-0.0,0.34415442,0.5211377,nan,2,0,0,0
150754757,150754022,40.15526672481269,116.26154390568401,99.825195,99.98463,-0.0,0.34414563,0.52129364,nan,2,0,0,0
151759014,151758433,40.155227069741436,116.26156753349441,99.79188,99.95411,-0.0,0.344405,0.52175254,nan,2,0,0,0
152754720,152754029,40.15518800183516,116.2615921286795,99.77844,99.94284,-0.0,0.34399453,0.52157354,nan,2,0,0,0
153754504,153753814,40.15514884464008,116.2616176727228,99.748955,99.91542,-0.0,0.3442188,0.52201396,nan,2,0,0,0
154754868,154754290,40.155109272172425,116.2616443580826,99.69992,99.86492,-0.0,0.34383315,0.52084583,nan,2,0,0,0
155747196,155746563,40.155069467577334,116.26167125723994,99.69142,99.85026,-0.0,0.343384,0.5206649,nan,2,0,0,0
156751266,156750672,40.155028659290174,116.26169904920152,99.67718,99.8269,-0.0,0.34367877,0.5211186,nan,2,0,0,0
157750907,157750322,40.15498868582012,116.2617296350346,99.6799,99.82486,-0.0,0.34364542,0.5212868,nan,2,0,0,0
158754929,158754361,40.154949271809635,116.26176027525302,99.68645,99.8245,-0.0,0.3434775,0.52141494,nan,2,0,0,0
159751134,159750377,40.15491048769165,116.26178922900849,99.64926,99.77373,-0.0,0.3430869,0.5202932,nan,2,0,0,0
160755338,160754639,40.15487166734434,116.26181792382835,99.610855,99.720894,-0.0,0.34332663,0.52076423,nan,2,0,0,0
161754703,161754120,40.15483380373927,116.2618460311854,99.60124,99.69789,-0.0,0.34336045,0.5209598,nan,2,0,0,0
162751144,162750450,40.154795587588104,116.26187445233923,99.55648,99.63765,-0.0,0.34302387,0.52084136,nan,2,0,0,0
163751988,163751344,40.15475691699019,116.26190366540763,99.572655,99.64069,-0.0,0.34363416,0.52070427,nan,2,0,0,0
164751317,164750577,40.154718373120424,116.26193253121184,99.570526,99.62413,-0.0,0.3430601,0.5205566,nan,2,0,0,0
165755443,165754852,40.15467978974804,116.261960252936,99.57467,99.61458,-0.0,0.34285262,0.52070403,nan,2,0,0,0
166755549,166754984,40.15464116761301,116.26198752164133,99.59326,99.62111,-0.0,0.342752,0.52086633,nan,2,0,0,0
167755645,167755017,40.15460174828201,116.26201531059858,99.62075,99.63168,-0.0,0.34270686,0.52103335,nan,2,0,0,0
168747834,168747238,40.154562401556234,116.26204374121077,99.63559,99.63062,-0.0,0.3426735,0.52118903,nan,2,0,0,0
169755336,169754770,40.15452215252214,116.26207255148594,99.607605,99.58473,-0.0,0.34262976,0.5203748,nan,2,0,0,0
170755861,170755171,40.15448424372973,116.26210120597852,99.60725,99.5723,-0.0,0.34284997,0.52083296,nan,2,0,0,0
171749158,171747285,40.15445632273578,116.26212209259889,99.6299,99.583916,-0.0,0.34244367,0.5207094,nan,2,0,0,0
172758894,172758307,40.154437116332375,116.26213516086263,99.6793,99.623924,-0.0,0.34240785,0.5209197,nan,2,0,0,0
173752980,173751070,40.15442581481643,116.26214066875015,99.746506,99.68888,-0.0,0.34203422,0.5207976,nan,2,0,0,0
