timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
89676386,89675301,0.21842243,0.02113471,-1.0649626,-0.19608116,0.21589081,0.84769744,2.840716,-0.07953882,-0.1534853,-0.14498901,-0.079488754,0.1953063,0.17413302,0.04528372,-0.026232421,-0.11409818,-0.0036135912,2.2856491e-05,2.2742874e-05,0.9952595,0.0023920587,0.0023027938
90664767,90663881,0.23506922,0.024340248,-1.0487026,-0.1798028,0.23235421,0.8645341,2.8581185,-0.054221153,-0.12332106,-0.12412262,-0.083304405,0.13626862,0.10800791,0.017775223,-0.037346214,-0.11062352,-0.054495335,2.7010346e-05,2.3773959e-05,0.99486464,0.0023260524,0.002758586
91672894,91671999,0.24139547,0.022733312,-1.0414691,-0.17312256,0.23896545,0.8713372,2.8664365,-0.10783768,-0.16821432,-0.15577745,-0.08935976,0.15855026,0.11024341,-0.01395601,-0.07977246,-0.15716508,-0.036778197,3.3092805e-05,2.5859137e-05,0.9953559,0.0020621952,0.002522991
92668450,92667474,0.2546935,0.023705164,-1.0285678,-0.15999494,0.25213534,0.8844431,2.87894,-0.11083698,-0.14165735,-0.117801666,-0.04300213,0.15783119,0.10092093,-0.022837788,-0.07989219,-0.13707384,0.019030228,3.07189e-05,2.50431e-05,0.99513,0.0021649804,0.0026491934
93665275,93664388,0.26472533,0.0194933,-1.0178916,-0.14944069,0.2624209,0.89414304,2.88782,-0.07400322,-0.09964323,-0.07645941,-0.0064840317,0.17499542,0.04603623,-0.068497464,-0.12043205,-0.17138764,-0.023673102,2.4146859e-05,2.3530396e-05,0.995679,0.002248633,0.0020246673
94668471,94667509,0.28421876,0.02228188,-0.9991375,-0.13036832,0.281664,0.9135693,2.9068882,-0.106420994,-0.14761114,-0.13808155,-0.090394974,0.08311415,0.05156021,-0.03677486,-0.08304578,-0.1368469,-0.04937148,2.4573697e-05,2.3283781e-05,0.99519694,0.0023422495,0.002412957
95672623,95671664,0.28536373,0.023919253,-0.99779963,-0.12932488,0.2828238,0.9151646,2.9098847,-0.06589985,-0.10127115,-0.09296417,-0.05168581,0.09784126,0.004083544,-0.07219213,-0.11211224,-0.15846735,-0.082485214,3.1415257e-05,2.5268047e-05,0.99515855,0.0021409243,0.0026438509
96668918,96668042,0.28521335,0.0051074824,-0.973333,-0.119148195,0.28494838,0.9075428,2.9143493,0.22141695,0.03468275,0.07533026,0.28651714,1.0831423,0.4759392,0.07894839,-0.1295111,-0.3754013,0.012803674,1.2573764e-05,3.0450612e-05,0.9994595,0.00048481577,1.2573764e-05
97668933,97668065,0.25432435,0.004504556,-0.8644372,-0.09987179,0.25434563,0.81278384,2.8876595,0.41296434,0.19768786,0.2329936,0.453959,1.5800016,0.6317736,0.15038495,-0.09608858,-0.4168345,-0.0022202488,1.4050624e-05,6.602253e-05,0.99989176,1.4050624e-05,1.4050624e-05
98673124,98672266,0.34067088,0.004337569,-0.69383323,0.017174251,0.3406938,0.85781425,2.9674733,0.368654,0.3019426,0.30173755,0.34200716,0.6777508,0.105033144,-0.014210768,-0.07732878,-0.16951329,-0.113829814,1.5292051e-05,7.821797e-05,0.99987584,1.5292051e-05,1.5292051e-05
99666233,99664031,1.2982826,0.004029721,0.3792144,1.0183702,1.2982836,1.7450317,-2.4607863,1.1208307,0.49987948,0.2512383,-0.0446257,0.8113686,-0.113437414,-0.112079024,-0.2369622,-0.5646951,-2.0033374,1.6403761e-05,1.6403761e-05,0.99993426,1.6403761e-05,1.6403761e-05
100669091,100668217,1.5938562,0.0033340426,0.8655867,1.3828521,1.5938534,1.9290053,-2.3713777,0.9940015,0.46011293,0.18407702,-0.28117025,-1.3492404,-0.81015563,-0.35105753,-0.25395393,-0.22432756,-2.401813,1.5507412e-05,1.5507412e-05,0.9999379,1.5516987e-05,1.5507412e-05
101668679,101667813,1.6204488,0.0030232284,0.97001624,1.43681,1.6203831,1.9078492,-2.5274365,0.40664995,0.4821818,0.4766034,0.42625535,-0.6273182,-0.69709206,-0.4183216,-0.30442715,-0.13062525,-0.014575481,2.7686017e-05,2.7686017e-05,0.9996908,0.0002260698,2.7686017e-05
102674081,102671935,1.6590108,0.06311574,0.9905357,1.4631718,1.6464199,1.9320172,-2.5364623,0.29925835,0.51700497,0.5738822,0.62362444,-0.081214786,-0.6959295,-0.50042963,-0.40058756,-0.22856474,0.46304512,4.327996e-05,4.327996e-05,0.9844369,0.0017083528,0.013768178
103669136,103668254,1.7157506,0.24299885,1.0042279,1.4775668,1.6607921,1.9460263,-2.5302377,0.18478954,0.40729916,0.46984243,0.53241074,-0.040444136,-0.52451706,-0.3627224,-0.2748704,-0.1195755,0.60417986,2.9078139e-05,3.1036518e-05,0.9401073,0.0026692087,0.05716346
104665392,104664618,1.74914,0.3131539,1.0182323,1.4917088,1.6749061,1.9600257,-2.518166,0.1690439,0.35960007,0.4133228,0.46738267,-0.0143460035,-0.46017408,-0.3232684,-0.24867582,-0.116707325,0.50562286,2.4010136e-05,2.8542878e-05,0.92190456,0.002946292,0.07509656
105673099,105672111,1.7953526,0.42130002,1.0307497,1.5044522,1.6876615,1.9727309,-2.5072186,0.1380732,0.30985022,0.35933042,0.41079652,0.00695467,-0.36069393,-0.24591446,-0.18188,-0.067426205,0.4946618,2.2852806e-05,2.5580188e-05,0.8927131,0.003218056,0.104020424
106669321,106668458,-3.1054478,0.9879584,0.9342559,1.4097391,1.5936753,1.8796756,-2.6028235,0.12094557,0.24539196,0.28114235,0.31817555,0.026267886,-0.3024993,-0.21926689,-0.17281961,-0.08986759,0.3151269,1.552904e-05,1.552904e-05,0.32345015,0.001694553,0.6748243
107669400,107668423,1.6651515,0.00785343,1.0117952,1.4817057,1.6634243,1.9462796,-2.5370615,0.019355059,0.22528481,0.2871586,0.35559833,-0.061228156,-0.3303485,-0.21230268,-0.1429143,-0.015994072,0.6665883,5.142976e-05,6.0649407e-05,0.99589497,0.002893029,0.0010999042
108673449,108672475,1.6908824,0.0032529295,1.0418828,1.5094678,1.6903251,1.972025,-2.5100346,0.08023882,0.19657266,0.23412716,0.27954113,0.11235535,-0.21706629,-0.17060614,-0.13894415,-0.07772112,0.31314373,6.635905e-05,7.0676724e-05,0.997756,0.0020659042,4.1016e-05
109665368,109664598,1.7181348,0.0037458923,1.0676308,1.5362175,1.7175277,1.9999974,-2.4795034,0.08790314,0.16536927,0.19094324,0.22262037,0.12601185,-0.22858095,-0.20219755,-0.1827712,-0.14428282,0.115968704,9.167025e-05,7.4828524e-05,0.99769145,0.002008906,0.0001331012
110673140,110672294,1.7381337,0.004593318,1.0865227,1.5557823,1.7373413,2.0201917,-2.4591134,0.07253122,0.15606475,0.17945886,0.20282316,-0.0144274235,-0.2730031,-0.21109581,-0.17777443,-0.1190362,0.15765142,9.1987495e-05,7.343984e-05,0.9973968,0.0021319257,0.00030580052
111665321,111664543,1.755759,0.0051336074,1.1037543,1.5732268,1.7548168,2.0376763,-2.4428058,0.09893286,0.18187177,0.2058506,0.23099089,0.036322594,-0.19483519,-0.13948774,-0.10866976,-0.053525448,0.22162342,7.7796925e-05,6.984644e-05,0.99713355,0.0023086404,0.00041016183
112674316,112673272,1.7667525,0.004608643,1.1154215,1.5845152,1.7658966,2.0483987,-2.4336898,0.027635217,0.12167716,0.15035272,0.18270254,0.0025311708,-0.16423512,-0.11339712,-0.08286953,-0.026504993,0.28690958,6.3723695e-05,6.7041714e-05,0.9971974,0.0023996956,0.00027220708
113673052,113672085,1.7779678,0.0040781437,1.1275365,1.5960946,1.7773331,2.0597186,-2.420487,0.06385732,0.1379503,0.16153347,0.18957138,0.07366669,-0.12509298,-0.092850685,-0.07168722,-0.03128004,0.2168765,8.191362e-05,7.297437e-05,0.9976285,0.0020822058,0.00013438966
114668883,114668034,1.7884055,0.0039325464,1.1386206,1.6067637,1.7878486,2.070029,-2.4099493,-0.0075775385,0.036967754,0.04900074,0.06033051,-0.067685485,-0.08625221,-0.049607277,-0.030510902,0.002661705,0.150352,8.518214e-05,7.468474e-05,0.99778044,0.0019780926,8.161579e-05
115665598,115664819,1.8711659,0.003742844,1.2243783,1.6892415,1.8707844,2.1533468,-2.324428,0.07388699,0.17490888,0.22034323,0.2928183,0.4940275,0.06556797,0.0032310486,-0.0071754456,-0.006772518,0.34307814,0.00011499045,8.365729e-05,0.99817437,0.0016062981,2.0786927e-05
116675152,116672968,1.9662234,0.003928443,1.3466986,1.7921147,1.9668136,2.2400646,-2.223312,0.031383216,0.24959797,0.3393802,0.47537464,0.6959346,0.011639833,-0.052969933,-0.05069971,-0.016277552,0.7626412,0.0010317164,0.00025366835,0.9985516,0.00014674013,1.616862e-05
117670919,117668618,1.8186574,0.0062184753,1.2232195,1.6535716,1.8230233,2.0894608,-2.359991,0.05509475,0.1732778,0.22631589,0.31205454,0.57573783,0.07758999,0.0064349174,-0.0063974857,-0.008216381,0.4298296,0.007563156,0.0006395058,0.99176323,2.0551137e-05,1.35125065e-05
118673894,118673030,1.798312,0.009267879,1.2144145,1.6412607,1.8076454,2.0701725,-2.3738363,0.08049964,0.15232164,0.18413147,0.23525558,0.38569042,0.05424595,0.014750004,0.008213043,0.008773327,0.2786348,0.016405972,0.0009066543,0.9826614,1.29439995e-05,1.29439995e-05
