timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
185392586,inf,0,0,0,0,0,0,0,0,1,1
186400199,inf,0,0,0,0,0,0,0,0,1,1
187400436,inf,0,0,0,0,0,0,0,0,1,1
188408403,inf,0,0,0,0,0,0,0,0,1,1
189408756,inf,0,0,0,0,0,0,0,0,1,1
190420577,inf,0,0,0,0,0,0,0,0,1,1
191428403,inf,0,0,0,0,0,0,0,0,1,1
192432260,inf,0,0,0,0,0,0,0,0,1,1
193436562,inf,0,0,0,0,0,0,0,0,1,1
194440579,inf,0,0,0,0,0,0,0,0,1,1
195440912,inf,0,0,0,0,0,0,0,0,1,1
196444936,inf,0,0,0,0,0,0,0,1,0,1
196456325,inf,0,0,0,0,1,1,0,1,0,1
197456871,inf,0,0,0,0,1,1,0,1,0,1
198461119,inf,0,0,0,0,1,1,0,1,0,1
199472896,inf,0,0,0,0,1,1,0,1,0,1
200480898,inf,0,0,0,0,1,1,0,1,0,1
201484997,inf,0,0,0,0,1,1,0,1,0,1
202489046,inf,0,0,0,0,1,1,0,1,0,1
203496839,inf,0,0,0,0,1,1,0,1,0,1
204501243,inf,0,0,0,0,1,1,0,1,0,1
205501377,inf,0,0,0,0,1,1,0,1,0,1
206509137,inf,0,0,0,0,1,1,0,1,0,1
207509350,inf,0,0,0,0,1,1,0,1,0,1
208513033,inf,0,0,0,0,1,1,0,1,0,1
209513346,inf,0,0,0,0,1,1,0,1,0,1
210517672,inf,0,0,0,0,1,1,0,1,0,1
211521278,inf,0,0,0,0,1,1,0,1,0,1
212521466,inf,0,0,0,0,1,1,0,1,0,1
213521502,inf,0,0,0,0,1,1,0,1,0,1
214521532,inf,0,0,0,0,1,1,0,1,0,1
215521641,inf,0,0,0,0,1,1,0,1,0,1
216529771,inf,0,0,0,0,1,1,0,1,0,1
217541654,inf,0,0,0,0,1,1,0,1,0,1
