timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
62075079,62075046,0.60853595,8.377712e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62179528,62179496,0.60853595,8.388603e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62275021,62274988,0.60853595,8.399578e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62375236,62375204,0.60853595,8.412231e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62470973,62470944,0.60853595,8.424464e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62574856,62574823,0.60853595,8.441332e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62675054,62675021,0.60853595,8.45349e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62771491,62771462,0.60853595,8.46594e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62875324,62875288,0.60853595,8.480596e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
62975675,62975642,0.60853595,8.492765e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63075621,63075589,0.60853595,8.5060465e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63179331,63179298,0.60853595,8.520385e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63267199,63267169,0.60853595,8.531972e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63375088,63375056,0.60853595,8.5461e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63475165,63475137,0.60853595,8.559434e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63579532,63579502,0.60853595,8.573966e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63671414,63671384,0.60853595,8.586574e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63775759,63775730,0.60853595,8.600215e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63875580,63875551,0.60853595,8.613542e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
63975935,63975906,0.60853595,8.626988e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64072071,64072036,0.60853595,8.640876e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64175335,64175306,0.60853595,8.65513e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64279787,64279758,0.60853595,8.66841e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64371020,64370990,0.60853595,8.680761e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64475009,64474980,0.60853595,8.693921e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64574978,64574950,0.60853595,8.707322e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64678979,64678949,0.60853595,8.721778e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64771065,64771029,0.60853595,8.7342405e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64871657,64871622,0.60853595,8.747801e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
64979784,64979755,0.60853595,8.762012e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65071677,65071648,0.60853595,8.774488e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65175067,65175037,0.60853595,8.788658e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65274986,65274954,0.60853595,8.801948e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65371822,65371790,0.60853595,8.814444e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65471524,65471492,0.60853595,8.827841e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65571704,65571672,0.60853595,8.841325e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65679771,65679742,0.60853595,8.855598e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65775734,65775705,0.60853595,8.867959e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65871254,65871221,0.60853595,8.881464e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
65975042,65975013,0.60853595,8.895809e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66075215,66075186,0.60853595,8.90913e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66179852,66179819,0.60853595,8.923776e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66270940,66270911,0.60853595,8.93611e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66375238,66375208,0.60853595,8.949331e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66471831,66471801,0.60853595,8.961837e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66571007,66570977,0.60853595,8.975004e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
