timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
97161179,97152063,197388,0.23340409,-0.05040912,0.5356805,0
97672646,97662168,197388,0.24598214,-0.0717667,0.5067012,0
98160894,98150375,197388,0.27337587,-0.06262955,0.49310374,0
98673226,98664295,197388,0.27345484,-0.045864996,0.49131066,0
99174839,99163986,197388,0.20515409,-0.06340092,0.51377445,0
99672248,99661775,197388,0.16056162,-0.21984415,0.51688874,0
100160779,100152150,197388,0.14951402,-0.27459306,0.46778485,0
100658544,100648196,197388,0.19667399,-0.29112765,0.43556267,0
101164661,101156363,197388,0.094207525,-0.28867325,0.45858938,0
101660704,101650259,197388,0.08591209,-0.288536,0.48195857,0
102172859,102164356,197388,0.10885453,-0.28830105,0.4661553,0
102676426,102666229,197388,0.11025795,-0.3050524,0.46593365,0
103177202,103166230,197388,0.101934195,-0.28024295,0.47064322,0
103664341,103654240,197388,0.111354195,-0.2727284,0.4667918,0
104156401,104146195,197388,0.090571135,-0.2531144,0.4688121,0
104657500,104648435,197388,0.12004385,-0.26176637,0.4585095,0
105172917,105162132,197388,0.1149128,-0.26895717,0.47262496,0
105668489,105658103,197388,0.11298889,-0.27287996,0.47936225,0
106165674,106155208,197388,0.12607738,-0.26733756,0.46179813,0
106669464,106658495,197388,0.102009974,-0.29201978,0.48170215,0
107169349,107158362,197388,0.098617725,-0.29420125,0.47066742,0
107673144,107662569,197388,0.12217592,-0.27803367,0.48146352,0
108172857,108162461,197388,0.10621449,-0.28110898,0.4638965,0
108665478,108654690,197388,0.1256023,-0.2791961,0.47109613,0
109176587,109167310,197388,0.1235029,-0.25911838,0.4717031,0
109672513,109664305,197388,0.079205014,-0.27671096,0.47125673,0
110160545,110150459,197388,0.09514126,-0.27470988,0.46860573,0
110661922,110652367,197388,0.090903305,-0.30330357,0.43820402,0
111173355,111164515,197388,0.07132971,-0.26857564,0.4959037,0
111661008,111652319,197388,0.11511352,-0.26563603,0.47861576,0
112157446,112148585,197388,0.103271484,-0.2774075,0.45948204,0
112668960,112658701,197388,0.09615644,-0.31350607,0.46203232,0
113177421,113166824,197388,0.08051558,-0.27903253,0.4614421,0
113676703,113666549,197388,0.09031451,-0.28054094,0.47846127,0
114169201,114160364,197388,0.07898395,-0.2952334,0.46794683,0
114668982,114658440,197388,0.0749373,-0.29017,0.48257023,0
115165277,115156551,197388,0.10966835,-0.26896116,0.46368924,0
115661073,115650874,197388,0.016356539,-0.2297996,0.47584587,0
116173936,116162883,197388,-0.057698738,-0.26590228,0.5005989,0
116661409,116650358,197388,-0.014140448,-0.26152185,0.49624848,0
117163436,117151127,197388,0.024276605,-0.27867606,0.479797,0
117665115,117654728,197388,0.03870737,-0.2782939,0.48145515,0
118153247,118144707,197388,0.053531397,-0.27926522,0.47603676,0
118665291,118654672,197388,0.07291862,-0.23834471,0.48962814,0
119165428,119156836,197388,0.04186223,-0.26851007,0.471236,0
119669227,119658844,197388,0.1540352,-0.2304171,0.45225748,0
120173713,120162827,197388,0.2778662,-0.08022913,0.46925554,0
120677882,120667016,197388,0.3436298,0.07493,0.4424708,0
121165605,121157046,197388,0.2657442,0.21153818,0.4505336,0
121673725,121663161,197388,0.20859486,0.1953464,0.43715653,0
122160992,122150689,197388,0.31240183,0.099848986,0.46777305,0
122664792,122651272,197388,0.30403417,0.008325469,0.45977533,0
123173662,123163254,197388,0.29856583,-0.024282148,0.46223944,0
123672954,123662764,197388,0.29868433,-0.009308363,0.46974272,0
124163263,124151099,197388,0.34637508,0.0026271362,0.43626505,0
124674217,124663471,197388,0.3497829,0.04367883,0.3784076,0
125153564,125143186,197388,0.2710917,-0.03770157,0.44759485,0
125673805,125665231,197388,0.18453336,-0.14323668,0.4970697,0
126158055,126147256,197388,0.1409745,-0.20688972,0.45971936,0
126661721,126651132,197388,0.12905729,-0.31392732,0.39642474,0
127177929,127167216,197388,0.16470224,-0.27900535,0.40433657,0
127678355,127667336,197388,0.13841413,-0.30646425,0.41489238,0
128158510,128147212,197388,0.057256244,-0.28633115,0.45146665,0
128661458,128651125,197388,0.08088063,-0.2912335,0.40567017,0
129157891,129149428,197388,0.07785904,-0.28721645,0.4358339,0
129665809,129655438,197388,0.08281032,-0.28045148,0.45526367,0
