timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
71756297,-0.020578567,-0.029710721,0.092361555,0.7853982,0.9987778,-0.009591271,-0.01531313,0.04600415,0.0,0.0,-0.58258915,0,0,0,0,0
71808143,-0.023818323,-0.05988046,0.12844217,0.24982089,0.99744344,-0.009957956,-0.030635862,0.06378788,0.0,0.0,-0.5766728,0,0,0,0,0
71859840,-0.029096775,-0.076567836,0.1282657,-0.0033543706,0.99714315,-0.012054613,-0.039123513,0.06347949,0.0,0.0,-0.5769628,0,0,0,0,0
71912038,-0.03606659,-0.10419448,0.12795357,-0.004970513,0.9964982,-0.014642318,-0.053109992,0.062898934,0.0,0.0,-0.58864564,0,0,0,0,0
71952742,-0.038077507,-0.122704245,0.12775537,-0.004165839,0.99597687,-0.015049831,-0.062390473,0.06253772,0.0,0.0,-0.59465307,0,0,0,0,0
72009170,-0.038379543,-0.15380587,0.12748656,-0.0034340124,0.9949302,-0.014200024,-0.07787571,0.062028952,0.0,0.0,-0.6072346,0,0,0,0,0
72056037,-0.040570393,-0.16597083,0.12722987,-0.005031474,0.9944452,-0.014904699,-0.08399056,0.061662294,0.0,0.0,-0.60812926,0,0,0,0,0
72108127,-0.045214247,-0.19311744,0.12689497,-0.007314422,0.9932234,-0.0163434,-0.09761678,0.06091849,0.0,0.0,-0.60953224,0,0,0,0,0
72156757,-0.046542514,-0.20944394,0.12668143,-0.0065482347,0.9924125,-0.016480444,-0.10575763,0.06050709,0.0,0.0,-0.60807854,0,0,0,0,0
72203698,-0.05205452,-0.22424462,0.12646092,-0.0057811956,0.9915831,-0.018741637,-0.11326023,0.059864327,0.0,0.0,-0.6065618,0,0,0,0,0
72255935,-0.05367596,-0.2535972,0.12608276,-0.006427636,0.98985857,-0.018602436,-0.12783946,0.059084598,0.0,0.0,-0.6091866,0,0,0,0,0
72304739,-0.057409003,-0.26557103,0.12588403,-0.004979808,0.98906565,-0.02006726,-0.13386844,0.05852875,0.0,0.0,-0.61046576,0,0,0,0,0
72357340,-0.06006585,-0.29803288,0.1254965,-0.00534896,0.98680586,-0.020331537,-0.14996865,0.057534758,0.0,0.0,-0.61569256,0,0,0,0,0
72405229,-0.061066885,-0.3007669,0.12530635,-0.005831376,0.9866002,-0.020748902,-0.15134351,0.05731193,0.0,0.0,-0.6162638,0,0,0,0,0
72459709,-0.06262597,-0.30991545,0.12496203,-0.0041573686,0.98590845,-0.021240158,-0.15589312,0.056839395,0.0,0.0,-0.61665547,0,0,0,0,0
72513497,-0.06378248,-0.31021664,0.124626346,-0.0057267747,0.9858826,-0.021826437,-0.15607068,0.056577574,0.0,0.0,-0.61481696,0,0,0,0,0
72557444,-0.062998615,-0.31014726,0.12438444,-0.0056459163,0.9859032,-0.021461204,-0.1560117,0.056520905,0.0,0.0,-0.6164241,0,0,0,0,0
72607997,-0.05968414,-0.30878723,0.12410595,-0.005413455,0.98604864,-0.01989378,-0.15524496,0.056668602,0.0,0.0,-0.61358994,0,0,0,0,0
72657392,-0.058259144,-0.30092272,0.12392188,-0.0034131517,0.9866564,-0.019463424,-0.15132631,0.056838386,0.0,0.0,-0.6115835,0,0,0,0,0
72711828,-0.059590064,-0.30493116,0.123671375,-0.0037906063,0.98635226,-0.020007588,-0.15333763,0.056536496,0.0,0.0,-0.6136416,0,0,0,0,0
72763999,-0.05795895,-0.29891893,0.1235031,-0.0039035615,0.9868188,-0.019412452,-0.15032564,0.056692373,0.0,0.0,-0.61417735,0,0,0,0,0
72808087,-0.0580553,-0.31124163,0.12330795,-0.0036587706,0.9859002,-0.019072471,-0.15640046,0.05635478,0.0,0.0,-0.619206,0,0,0,0,0
72855998,-0.059878986,-0.30099034,0.123180434,-0.0029152909,0.9866563,-0.020316437,-0.1513981,0.056348715,0.0,0.0,-0.619817,0,0,0,0,0
72912202,-0.058714367,-0.30631414,0.12301441,-0.002579802,0.98627573,-0.019580992,-0.15398808,0.056253135,0.0,0.0,-0.6198997,0,0,0,0,0
72953377,-0.060345653,-0.31087533,0.12292404,-0.0020882355,0.9859165,-0.020243488,-0.15628055,0.05599358,0.0,0.0,-0.62007785,0,0,0,0,0
73012227,-0.057088945,-0.3099185,0.122780554,-0.0026769554,0.9860251,-0.018680342,-0.15571636,0.056195244,0.0,0.0,-0.6166566,0,0,0,0,0
73063926,-0.05484777,-0.30030558,0.1226973,-0.0019655123,0.98676854,-0.017893026,-0.1509139,0.056503445,0.0,0.0,-0.6141313,0,0,0,0,0
73107910,-0.058548506,-0.31284434,0.12260815,-0.0024218124,0.98579234,-0.01931821,-0.15719715,0.055940486,0.0,0.0,-0.61672443,0,0,0,0,0
73160101,-0.057134558,-0.30552062,0.12256865,-0.00089012366,0.9863631,-0.018861962,-0.15354829,0.056169808,0.0,0.0,-0.6134951,0,0,0,0,0
73213515,-0.060883496,-0.31626529,0.12249453,-0.0014386352,0.9855081,-0.020366548,-0.15894611,0.055633206,0.0,0.0,-0.6154353,0,0,0,0,0
73261300,-0.061689373,-0.30894774,0.12246721,-0.0004906133,0.986062,-0.021004409,-0.15536363,0.05570178,0.0,0.0,-0.6143068,0,0,0,0,0
73304974,-0.0606769,-0.30785936,0.12243453,-0.000989896,0.98615575,-0.020543179,-0.15479876,0.055785697,0.0,0.0,-0.6124154,0,0,0,0,0
73353624,-0.057540514,-0.30213705,0.122393034,0.00023639748,0.9866167,-0.019185241,-0.15188995,0.056115694,0.0,0.0,-0.61271554,0,0,0,0,0
73408125,-0.055138197,-0.283649,0.12234859,-0.001020544,0.9879707,-0.018599516,-0.14269984,0.056610234,0.0,0.0,-0.611739,0,0,0,0,0
73456160,-0.052320674,-0.2611236,0.12233784,0.00027874243,0.9895041,-0.017930256,-0.13148865,0.057190668,0.0,0.0,-0.6091271,0,0,0,0,0
