timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
35274618,35273977,1310988,-0.0016209313,-0.008144108,0.0004312022,0.34906584,5.2895854e-07,5.2890806e-07,1.2444797e-06,1310988,0.0,0.0,0.050927192,0.4,0.00040830058,0.00040830058,0.00027674454,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
35938499,35937861,1310988,-0.0015205431,-0.008110775,0.0005874171,0.34906584,5.1984824e-07,5.197996e-07,1.1557231e-06,1310988,0.0,0.0,0.052093692,0.4,0.00040306215,0.00040306215,0.0002598001,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36226398,36225722,1310988,-0.0015371605,-0.00806973,0.0008288644,0.34906584,5.1826265e-07,5.182139e-07,1.1123371e-06,1310988,0.0,0.0,0.051030956,0.4,0.0004019378,0.0004019378,0.0002506478,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36462736,36461998,1310988,-0.0015496616,-0.008054355,0.00022578477,0.34906584,5.179013e-07,5.1785213e-07,1.074277e-06,1310988,0.0,0.0,0.05242405,0.4,0.0004017374,0.0004017374,0.00024031202,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36542298,36541721,1310988,-0.0015535266,-0.008077437,0.00051829714,0.34906584,5.194319e-07,5.1938247e-07,1.0666071e-06,1310988,0.0,0.0,0.05344839,0.4,0.0004029187,0.0004029187,0.00023870787,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36714480,36713639,1310988,-0.001556502,-0.008037406,0.00019105761,0.34906584,5.172742e-07,5.1722435e-07,1.0289377e-06,1310988,0.0,0.0,0.052202754,0.4,0.00040127596,0.00040127596,0.00022795267,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36866230,36865668,1310988,-0.0015808835,-0.008112472,0.00034957624,0.34906584,5.212445e-07,5.2119395e-07,1.0142041e-06,1310988,0.0,0.0,0.053225536,0.4,0.0004046004,0.0004046004,0.00022475045,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36954919,36954038,1310988,-0.0016053687,-0.008081359,6.452459e-05,0.34906584,5.186137e-07,5.1856347e-07,9.956115e-07,1310988,0.0,0.0,0.051572695,0.4,0.00040349332,0.00040349332,0.00021933913,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
36985958,36985326,1310988,-0.0016083687,-0.008094503,0.00010170007,0.34906584,5.194912e-07,5.1944085e-07,9.932767e-07,1310988,0.0,0.0,0.050433375,0.4,0.00040417377,0.00040417377,0.00021784869,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
37054626,37053746,1310988,-0.0016156011,-0.008110834,0.00049198425,0.34906584,5.1545754e-07,5.1540786e-07,9.784286e-07,1310988,0.0,0.0,0.049062204,0.4,0.00040304495,0.00040304495,0.00021431067,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
37162896,37161944,1310988,-0.0016129382,-0.008212201,0.0008802402,0.34906584,5.107498e-07,5.1070117e-07,9.575318e-07,1310988,0.0,0.0,0.045374814,0.4,0.00040279556,0.00040279556,0.00020922661,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
37250659,37249703,1310988,-0.001566752,-0.008096353,0.0012405807,0.34906584,5.0012153e-07,5.000747e-07,9.328314e-07,1310988,0.0,0.0,0.04227363,0.4,0.0003991816,0.0003991816,0.00020242388,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
37355315,37354436,1310988,-0.0014201815,-0.00810179,0.0017644608,0.34906584,4.883396e-07,4.8829463e-07,9.0800137e-07,1310988,0.0,0.0,0.0410777,0.4,0.00039719412,0.00039719412,0.00019600708,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
