timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
83051753,83051572,1310988,1310988,0.00048273787,-0.0001835025,9.224171e-05,-0.0038590566,0.00070553686,-0.03821002,3874,3998,0,0
83551204,83550980,1310988,1310988,-5.548502e-05,0.00022474228,0.00034380125,-0.0035031273,0.00013871604,-0.03729659,3868,3801,0,0
84047362,84047168,1310988,1310988,-0.00021017203,0.00036263396,0.0003448512,-0.0045929607,0.0007502992,-0.03733419,3881,3992,0,0
84551599,84551424,1310988,1310988,0.00048582067,0.00034369662,-3.2734646e-05,-0.0032382114,-0.00015280614,-0.028908893,4476,3071,0,0
85051578,85051402,1310988,1310988,-0.0002772253,-0.000118777076,0.00011753209,-0.0043073148,0.00031137784,-0.03507469,4010,3644,0,0
85551650,85551465,1310988,1310988,-0.00016668621,0.00010512926,-0.00012079525,-0.005386749,0.0002596699,-0.041437607,3925,4412,0,0
86051612,86051432,1310988,1310988,-0.00029200726,-8.0029036e-05,0.0002383307,-0.0043085627,0.00077315985,-0.039323293,3970,4016,0,0
86551798,86551614,1310988,1310988,-7.8278565e-05,-0.00050029065,-0.0001762196,-0.0044104964,-0.001176264,-0.03843892,4196,3979,0,0
87051423,87051242,1310988,1310988,0.0008912235,-0.00025380592,5.1621584e-05,-0.0040510194,0.00020466263,-0.037515912,4124,3958,0,0
87547727,87547536,1310988,1310988,0.0004563942,0.000116408584,-0.00042822535,-0.00458439,0.00089173164,-0.03772853,3893,4006,0,0
88051708,88051520,1310988,1310988,-6.3061474e-05,-0.0005142994,0.00028560034,-0.004297285,5.558172e-05,-0.03913073,4000,4000,0,0
88551365,88551188,1310988,1310988,0.0005463976,-0.0006260361,-8.0484366e-05,-0.0037407093,-0.0005632979,-0.036478356,3999,3673,0,0
89052020,89051844,1310988,1310988,0.00031585235,-0.00056375517,-0.0007012106,-0.006213632,-0.0010291156,-0.043090608,4182,4515,0,0
89552028,89551850,1310988,1310988,0.00016025818,-0.00019147298,-0.0001011682,-0.0043133264,-6.304641e-05,-0.03955053,3744,4164,0,0
90051754,90051571,1310988,1310988,0.0005965831,-0.0005162063,-6.1056184e-05,-0.005174624,0.0002760053,-0.03695246,3979,3809,0,0
90552130,90551954,1310988,1310988,0.00035170233,-1.5283435e-05,0.00017110056,-0.0045786994,-0.00039760704,-0.040392816,3820,4180,0,0
91048213,91047986,1310988,1310988,-5.5557677e-05,-0.0003609274,3.908604e-05,-0.004824918,-0.00014729715,-0.038327504,3873,4111,0,0
91551553,91551374,1310988,1310988,-2.7428208e-05,-0.00060323416,0.0003176959,-0.0031852382,-0.00087803614,-0.037025854,4037,3872,0,0
92051804,92051622,1310988,1310988,-1.2539194e-06,-0.00039742177,0.00011648415,-0.0043228744,0.001028683,-0.03749958,4034,3960,0,0
92551995,92551817,1310988,1310988,8.7856875e-05,-0.00017108217,2.7470876e-05,-0.0028855854,-0.0012833421,-0.034970973,4152,3511,0,0
93051941,93051765,1310988,1310988,7.193825e-05,-0.0004603061,0.00018134854,-0.0045125256,0.0001618328,-0.037550066,4070,3881,0,0
93552379,93552200,1310988,1310988,-5.6705925e-05,-0.00036642016,0.00023355408,-0.003708896,-0.0009831474,-0.038191766,4117,3880,0,0
94052071,94051896,1310988,1310988,0.0005339796,6.6757006e-05,-1.3423481e-05,-0.0048910035,-0.0004741485,-0.03605847,4050,3753,0,0
94548106,94547930,1310988,1310988,0.00012910213,-0.00047611966,0.00039101896,-0.005212618,3.1462205e-05,-0.038446646,3823,3976,0,0
95048193,95048009,1310988,1310988,-6.1258164e-05,-0.00021988002,5.9719816e-05,-0.0049334755,-0.00023968088,-0.037839357,3876,4007,0,0
95552153,95551979,1310988,1310988,0.0010154773,0.0001332313,-3.1411415e-05,-0.0049945544,9.994536e-05,-0.036147945,4026,3927,0,0
